#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-21-13-50-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750487518.142277	CW7JGe5BikYzdXoxe	192.168.226.11	45588	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487533.315228	CHfCsF17reOSemrJRe	192.168.226.11	44748	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487549.621814	CaRTCv3UiJva17wkne	192.168.226.11	46970	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487568.328655	CUttkb4ZzuJUvvicY9	192.168.226.11	45864	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487582.967731	C4wxQx4EdU2zJEGrZ3	192.168.226.11	46962	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487608.048905	CFRkGd2Ht8gfJu2iaf	192.168.226.11	47704	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487628.373324	CFOke04OlGIGndLHkk	192.168.226.11	47472	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487646.845587	Cx7ESL3a3xUWqsEbCb	192.168.226.11	47198	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487652.611113	C592q22N8Si8v0wULk	192.168.226.11	46450	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487677.555272	C6QZQa4Ks6ESIJMXi1	192.168.226.11	45762	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487683.205635	Ceq7cz37pAWlWi9E7j	192.168.226.11	45770	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487708.100236	C4H9Yc1D3cMytzwTV	192.168.226.11	45344	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487728.365907	C8aybB3zcFipqrWyoi	192.168.226.11	45666	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487752.859150	CO6P953mHbm4fIqImj	192.168.226.11	48026	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487768.217335	CbmWCc18jaL31Fdfh3	192.168.226.11	47998	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487787.839211	Cpv2fk4hZGUDsn1sP4	192.168.226.11	47482	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487812.945331	ClpH2A1uFs8NyxPYye	192.168.226.11	45942	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487833.299525	CeXMxd15CDogLrBcJa	192.168.226.11	45984	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487851.993296	C5KMj73xhpvhaaEQf8	192.168.226.11	44904	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487867.481758	CbAjnO14IJLmjiwsVc	192.168.226.11	45438	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487887.408765	Cwt4M61zPjdUhHu9Gh	192.168.226.11	48598	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487893.608236	CoNZWrWOiKYtRLFod	192.168.226.11	45418	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487908.105958	C4t0ac7TY8TBpDuCh	192.168.226.11	47544	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487913.784243	CIsXnD3nI2ChJh77Oa	192.168.226.11	46520	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487938.140214	CwQ97r4SjFBFKoHWf6	192.168.226.11	45952	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487958.358481	CEqGFH2eWFXdFmArl	192.168.226.11	48418	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487973.168955	C4R3Kn3v66lpGdSIQf	192.168.226.11	45788	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487998.223440	CITxeb4zj1cc1YoWgh	192.168.226.11	48208	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750488015.450814	Ci4q082Zq41J3TptQ9	192.168.226.11	45998	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750488043.054985	CuwDNk14iObVkAigB7	192.168.226.11	47370	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750488066.878352	C5G5ft1UFhlQRlaZe5	192.168.226.11	46560	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750488072.569199	CYbyY53uYOoPXknNya	192.168.226.11	45586	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750488137.804637	Cnp9XrjHCRUdNCEgk	192.168.226.11	47130	23.193.184.151	80	active_connection_reuse	-	F	zeek	TCP
1750488757.125002	C9S9gt2Qry92Ualwxa	192.168.226.11	45310	13.107.5.93	443	active_connection_reuse	-	F	zeek	TCP
1750489383.020070	CTkAza2P9bX6kj1y6g	192.168.226.11	48598	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750489407.980015	C3f6zu72DAmtRC1Xj	192.168.226.11	46122	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750489413.654081	C41nUt2ZwrANPxw1Lc	192.168.226.11	46130	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750489449.565397	CzKvQR3H1qKXUSUnRj	192.168.226.11	47392	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750489470.284606	C39Vnu4lwzds3dSiKk	192.168.226.11	45684	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750489488.434245	CtjmfR1yfu1Fnfl4La	192.168.226.11	46790	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750489507.952075	C685zP3okRXfOmy2Ma	192.168.226.11	45150	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750489531.702245	CrJjbnGIqC4o3WAPc	192.168.226.11	46974	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750489537.066359	CSYxGK1WPYdzNUUoej	192.168.226.11	46770	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750489557.441034	CTcyE7492qwIZipLeh	192.168.226.11	45510	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750489562.946719	Cp4Oag2EKz76lajhb4	192.168.226.11	45096	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750489588.194629	C0Zna7sWvd0YGigej	192.168.226.11	45718	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750489593.698041	C31oPd4JszeZxmPOxc	192.168.226.11	47412	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
